gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2840579052	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/86993868	Animalia	Chordata	Aves	Passeriformes	Oriolidae	Oriolus	Oriolus oriolus		SPECIES	Oriolus oriolus (Linnaeus," 1758)	Oriolus oriolus		PL	Poland - Białowieża		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	52.697844	23.83956	10.0						2014-06-06T00:00:00	6	6	2014	2488949	2488949	HUMAN_OBSERVATION		Observations	OBS.86993868				CC_BY_NC_4_0	Stichting Observation International	User 18850			2023-09-14T15:40:21.811Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
2840579051	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/86991448	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Luscinia	Luscinia luscinia		SPECIES	Luscinia luscinia (Linnaeus," 1758)	Luscinia luscinia		PL	Poland - Biebrza NP - Budy		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	53.384999	22.568171	10.0						2014-06-01T00:00:00	1	6	2014	2492542	2492542	HUMAN_OBSERVATION		Observations	OBS.86991448				CC_BY_NC_4_0	Stichting Observation International	User 18850			2023-09-14T15:40:21.810Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
2840579009	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/86702011	Animalia	Chordata	Aves	Passeriformes	Laniidae	Lanius	Lanius excubitor		SPECIES	Lanius excubitor Linnaeus," 1758	Lanius excubitor		PL	Poland - Białowieża		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	52.695112	23.863321	10.0						2014-07-24T00:00:00	24	7	2014	9444556	9444556	HUMAN_OBSERVATION		Observations	OBS.86702011				CC_BY_NC_4_0	Stichting Observation International	User 87919			2023-09-14T15:38:58Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
2840578973	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/86493995	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Saxicola	Saxicola rubetra		SPECIES	Saxicola rubetra (Linnaeus," 1758)	Saxicola rubetra		PL	Poland - Biebrza NP		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	53.307442	22.563128	100.0						2014-07-02T00:00:00	2	7	2014	2492521	2492521	HUMAN_OBSERVATION		Observations	OBS.86493995				CC_BY_NC_4_0	Stichting Observation International	User 40846			2023-09-14T15:40:21.544Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
2840578967	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/86439012	Animalia	Chordata	Aves	Passeriformes	Paridae	Poecile	Poecile palustris		SPECIES	Poecile palustris (Linnaeus," 1758)	Poecile palustris		PL	Poland - Białowieża		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	52.692193	23.896349	25.0						2014-07-18T00:00:00	18	7	2014	2487843	2487843	HUMAN_OBSERVATION		Observations	OBS.86439012				CC_BY_NC_4_0	Stichting Observation International	User 40019			2023-09-14T15:34:14.595Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
2840578955	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/86347492	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Muscicapa	Muscicapa striata		SPECIES	Muscicapa striata (Pallas," 1764)	Muscicapa striata		PL	Poland - Białowieża		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	52.709929	23.814697	25.0						2014-07-15T00:00:00	15	7	2014	2492576	2492576	HUMAN_OBSERVATION		Observations	OBS.86347492				CC_BY_NC_4_0	Stichting Observation International	User 40019			2023-09-14T15:36:51.214Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
2840578951	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/86314074	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Erithacus	Erithacus rubecula		SPECIES	Erithacus rubecula (Linnaeus," 1758)	Erithacus rubecula		PL	Poland - Białowieża		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	52.701734	23.87277	25.0						2014-07-14T00:00:00	14	7	2014	2492462	2492462	HUMAN_OBSERVATION		Observations	OBS.86314074				CC_BY_NC_4_0	Stichting Observation International	User 40019			2023-09-14T15:38:57.797Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
2840578945	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/86281057	Animalia	Chordata	Aves	Passeriformes	Laniidae	Lanius	Lanius collurio		SPECIES	Lanius collurio Linnaeus," 1758	Lanius collurio		PL	Poland - Białowieża		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	52.694098	23.852996	25.0						2014-07-13T00:00:00	13	7	2014	7745240	7745240	HUMAN_OBSERVATION		Observations	OBS.86281057				CC_BY_NC_4_0	Stichting Observation International	User 40019			2023-09-14T15:34:17.662Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
2840578943	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/86257160	Animalia	Chordata	Aves	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus paludicola		SPECIES	Acrocephalus paludicola (Vieillot," 1817)	Acrocephalus paludicola		PL	Poland - Biebrza NP		PRESENT	10	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	53.305152	22.554052	25.0						2014-07-04T00:00:00	4	7	2014	2493114	2493114	HUMAN_OBSERVATION		Observations	OBS.86257160				CC_BY_NC_4_0	Stichting Observation International	User 40062			2023-09-14T15:34:17.129Z		CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
2840578922	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/86136160	Animalia	Chordata	Aves	Passeriformes	Phylloscopidae	Phylloscopus	Phylloscopus collybita		SPECIES	Phylloscopus collybita (Vieillot," 1817)	Phylloscopus collybita		PL	Poland - Biebrza NP		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	53.362783	22.59831	25.0						2014-07-07T00:00:00	7	7	2014	2493091	2493091	HUMAN_OBSERVATION		Observations	OBS.86136160				CC_BY_NC_4_0	Stichting Observation International	User 40019			2023-09-14T15:34:17.124Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
